CustomerKey,GeographyKey,CustomerAlternateKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase,CommuteDistance,Age,BikeBuyer
22598,163,AW00022598,S,M,30000,0,0,0,0,11/27/2007,0-1 Miles,56,1
13164,315,AW00013164,S,F,40000,0,0,1,1,1/1/2008,5-10 Miles,39,0
23116,24,AW00023116,S,M,80000,2,0,0,2,1/29/2007,1-2 Miles,60,1
19053,133,AW00019053,S,M,130000,3,4,0,4,6/15/2008,0-1 Miles,61,0
16426,210,AW00016426,M,M,40000,0,0,1,0,5/30/2007,0-1 Miles,49,1
24539,209,AW00024539,S,M,110000,3,4,0,4,10/23/2007,5-10 Miles,59,0
24656,310,AW00024656,M,F,70000,5,0,1,3,11/21/2007,2-5 Miles,69,0
17323,32,AW00017323,M,M,100000,5,0,1,1,9/23/2007,10+ Miles,56,0
28220,26,AW00028220,S,F,80000,5,5,0,4,5/19/2008,0-1 Miles,48,0
21121,184,AW00021121,S,M,20000,0,0,0,1,10/18/2007,5-10 Miles,40,0
12823,188,AW00012823,M,F,10000,4,0,0,2,6/26/2008,0-1 Miles,87,0
21539,209,AW00021539,M,M,100000,3,4,1,4,3/30/2008,10+ Miles,65,0
17420,359,AW00017420,M,M,150000,2,0,1,4,5/25/2008,1-2 Miles,51,1
21096,115,AW00021096,S,M,30000,3,3,1,0,4/28/2008,0-1 Miles,52,0
14899,302,AW00014899,M,M,40000,1,0,1,1,12/15/2007,1-2 Miles,58,0
18741,35,AW00018741,M,M,30000,2,0,0,2,5/20/2008,0-1 Miles,79,0
21339,70,AW00021339,S,F,60000,3,0,0,2,8/7/2007,1-2 Miles,78,0
17753,237,AW00017753,S,F,30000,3,0,1,0,1/7/2007,0-1 Miles,55,1
16072,536,AW00016072,M,M,60000,1,0,1,0,4/14/2008,2-5 Miles,43,0
24232,383,AW00024232,S,M,60000,0,0,1,2,6/20/2008,5-10 Miles,36,1
18880,536,AW00018880,M,M,60000,3,0,0,2,4/16/2008,1-2 Miles,74,0
14736,536,AW00014736,M,M,20000,3,0,0,2,9/2/2007,0-1 Miles,61,0
14561,64,AW00014561,M,M,50000,1,1,1,1,8/5/2007,0-1 Miles,45,0
12131,186,AW00012131,M,M,90000,2,1,0,2,8/24/2005,2-5 Miles,59,1
29441,171,AW00029441,M,F,20000,1,0,1,0,6/27/2008,0-1 Miles,79,0
16950,53,AW00016950,M,M,50000,1,1,1,1,11/1/2007,0-1 Miles,44,0
24999,307,AW00024999,S,M,150000,1,0,0,0,3/21/2008,0-1 Miles,47,0
27574,369,AW00027574,M,F,80000,1,0,1,1,6/20/2007,2-5 Miles,57,1
26729,612,AW00026729,S,M,70000,3,0,0,2,1/4/2007,1-2 Miles,62,1
18771,325,AW00018771,S,M,40000,0,0,1,1,4/24/2008,5-10 Miles,39,0
22323,211,AW00022323,S,F,40000,2,2,1,1,7/25/2007,1-2 Miles,43,1
19172,250,AW00019172,M,M,40000,1,1,1,0,7/5/2006,0-1 Miles,41,1
24389,548,AW00024389,S,M,80000,2,0,1,2,8/18/2007,5-10 Miles,59,0
29162,548,AW00029162,M,M,60000,4,3,1,0,11/21/2007,2-5 Miles,56,0
19792,11,AW00019792,S,F,70000,2,0,0,2,3/24/2006,1-2 Miles,58,1
28501,142,AW00028501,S,M,20000,2,0,0,1,2/26/2008,2-5 Miles,56,1
23933,127,AW00023933,S,F,30000,3,3,1,0,2/10/2008,0-1 Miles,52,1
26451,641,AW00026451,M,F,40000,4,0,1,2,1/16/2008,5-10 Miles,78,0
19117,301,AW00019117,S,F,60000,1,0,1,0,6/20/2008,2-5 Miles,45,1
13181,329,AW00013181,M,M,90000,5,0,1,2,9/18/2007,1-2 Miles,72,0
15087,232,AW00015087,S,F,50000,0,0,0,0,3/24/2006,0-1 Miles,46,1
20664,611,AW00020664,M,M,70000,2,2,1,1,9/19/2007,2-5 Miles,47,1
12097,65,AW00012097,S,M,60000,2,1,1,2,11/22/2007,10+ Miles,65,0
28616,361,AW00028616,S,F,30000,2,0,1,2,6/5/2008,1-2 Miles,58,0
12498,147,AW00012498,M,M,40000,1,0,1,0,12/31/2007,0-1 Miles,52,0
26575,302,AW00026575,S,F,40000,0,0,0,2,11/11/2006,1-2 Miles,40,1
27751,322,AW00027751,S,F,40000,0,0,1,1,11/30/2007,5-10 Miles,38,0
