CustomerKey,GeographyKey,CustomerAlternateKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase,Age,BikeBuyer,BinnedColumn,EnglishEducation_Bachelors,EnglishEducation_Graduate Degree,EnglishEducation_High School,EnglishEducation_Partial College,EnglishEducation_Partial High School,EnglishOccupation_Clerical,EnglishOccupation_Management,EnglishOccupation_Manual,EnglishOccupation_Professional,EnglishOccupation_Skilled Manual,CommuteDistance_0-1 Miles,CommuteDistance_1-2 Miles,CommuteDistance_10+ Miles,CommuteDistance_2-5 Miles,CommuteDistance_5-10 Miles
11000,26,AW00011000,M,M,90000,2,0,1,0,7/22/2005,49,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
11001,37,AW00011001,S,M,60000,3,3,0,1,7/18/2005,50,1,Bin 2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
11002,31,AW00011002,M,M,60000,3,3,1,1,7/10/2005,50,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
11003,11,AW00011003,S,F,70000,0,0,0,1,7/1/2005,47,1,Bin 1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11004,19,AW00011004,S,F,80000,5,5,1,4,7/26/2005,47,1,Bin 1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
11005,22,AW00011005,S,M,70000,0,0,1,1,7/2/2005,50,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11006,8,AW00011006,S,F,70000,0,0,1,1,7/27/2005,49,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11007,40,AW00011007,M,M,60000,3,3,1,2,7/12/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
11008,32,AW00011008,S,F,60000,4,4,1,3,7/28/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
11009,25,AW00011009,S,M,70000,0,0,0,1,7/30/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11010,22,AW00011010,S,F,70000,0,0,0,1,7/17/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
11011,22,AW00011011,M,M,60000,4,4,1,4,7/2/2005,51,1,Bin 2,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
11012,611,AW00011012,M,F,100000,2,0,1,2,9/17/2007,47,0,Bin 1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
11013,543,AW00011013,M,M,100000,2,0,1,3,10/15/2007,47,0,Bin 1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11014,634,AW00011014,S,F,100000,3,0,0,3,9/24/2007,47,0,Bin 1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
11015,301,AW00011015,S,F,30000,0,0,0,1,7/22/2007,36,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11016,329,AW00011016,M,M,30000,0,0,1,1,8/13/2007,36,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11017,39,AW00011017,S,F,20000,4,0,1,2,7/15/2005,71,1,Bin 3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11018,32,AW00011018,S,M,30000,2,0,1,2,7/20/2005,70,1,Bin 3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
11019,52,AW00011019,S,M,40000,0,0,0,2,8/16/2007,37,0,Bin 1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
11020,53,AW00011020,S,M,40000,0,0,0,2,7/2/2007,36,1,Bin 1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
11021,536,AW00011021,S,F,40000,0,0,0,1,7/27/2007,37,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11022,609,AW00011022,M,M,40000,0,0,1,1,7/24/2007,36,1,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11023,298,AW00011023,M,M,40000,0,0,1,1,8/21/2007,36,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11024,311,AW00011024,M,M,60000,0,0,1,2,12/29/2007,36,0,Bin 1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
11025,24,AW00011025,M,M,10000,2,1,1,2,7/9/2005,69,1,Bin 3,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
11026,4,AW00011026,S,M,30000,2,0,0,2,7/26/2005,69,1,Bin 3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
11027,40,AW00011027,M,M,30000,2,0,1,2,7/19/2005,68,1,Bin 3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
11028,17,AW00011028,M,F,30000,2,0,1,2,7/29/2005,69,1,Bin 3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
11029,32,AW00011029,M,M,30000,2,0,1,2,7/22/2005,68,1,Bin 3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
